Nazwisko	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
JeWizżo	-	-	-	-	-	45	45	23	23	22	16	32	-	-	-	-	-	-	-	-	-
JoiDaOs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	91	-	-	-	-
JoiWiPo	-	71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JóBi	-	-	-	75	79	108	108	-	-	-	98	-	-	-	-	-	-	-	-	-	-
JóKa	-	-	-	-	-	129	129	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JóSz	-	-	-	-	-	-	-	74	76	64	83	69	69	63	68	68	34	31	34	33	30
JóWi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	91	91	47	39	74	60	56
JóWo	-	26	45	57	53	59	59	48	14	15	43	14	29	29	31	33	33	37	62	-	-
JóiMaKo	-	-	-	45	37	41	41	42	24	28	18	18	91	91	64	85	85	67	-	-	-
JęWi	-	-	-	-	139	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KaHe	-	-	-	-	-	140	140	-	-	-	97	97	97	78	89	89	76	81	98	-	63
KaMi	-	-	-	-	-	114	114	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KaPa	-	-	-	-	80	65	65	81	71	85	51	50	35	35	71	37	37	36	41	-	-
KaWi	-	88	95	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KaiArBł	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85
KaiWiPo	-	-	-	-	-	-	59	91	90	72	-	-	-	-	-	-	-	-	-	-	-
KoPa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	-	-
KrBo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	89	68	68	91	-
KrDo	-	-	-	-	-	-	56	58	60	87	71	70	70	99	83	83	90	90	-	-	-
KrGr	-	-	-	-	-	32	32	37	54	58	54	48	55	55	48	59	59	58	57	54	56
KrJę	-	-	-	-	-	-	-	-	-	31	25	42	42	42	63	63	-	-	-	-	-
KrKl	39	38	31	22	18	19	19	21	35	36	22	27	18	18	18	18	18	13	51	53	50
KrKo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	93	78	29
KrKozro	-	-	-	-	-	-	-	19	40	77	-	-	-	-	-	-	-	-	-	-	-
KrKr	-	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KrMu	27	22	35	36	65	77	77	84	-	-	-	-	-	-	-	-	-	-	-	-	-
KrNi	44	32	18	23	20	22	22	36	53	54	50	49	-	-	-	-	-	-	-	-	-
KrOl	94	75	42	49	52	85	85	52	83	66	71	43	-	-	-	-	-	-	-	-	-
KrPa	-	-	-	-	-	109	109	70	73	61	80	66	66	60	65	65	31	31	34	33	30
KrPr	-	-	-	-	-	79	79	60	45	49	69	61	61	58	55	55	57	50	55	33	-
KrSu	-	-	-	-	-	-	-	-	-	-	-	40	40	38	39	39	35	40	47	44	41
KriArBa	-	-	-	-	143	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KriSoOl	-	-	-	-	-	-	-	-	-	-	-	36	36	-	32	32	23	-	45	30	28
LeBo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	47	65	30	27	51	48
LeCz	11	10	9	11	10	12	12	9	4	3	5	3	4	4	5	5	5	5	8	22	99
LeGa	-	-	-	-	-	-	-	-	-	-	-	81	81	75	72	72	67	80	77	-	-
LeGi	-	-	-	-	-	-	-	-	-	-	-	74	74	-	56	56	68	31	40	27	17
LeKo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	-	-
LeSz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	82	81
LeiKrJę	-	-	-	-	-	-	-	-	14	-	-	-	-	-	-	-	-	-	-	-	-
LuKu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	97	92	-	-
LuOp	97	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MaAn	88	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MaBo	32	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MaDe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	75	-	-	-	99
MaFa	-	-	-	-	-	-	-	95	87	-	-	-	-	67	-	-	-	-	-	-	-
MaFo	49	9	-	-	-	-	-	-	-	-	-	84	84	-	75	75	64	65	-	-	-
MaGa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	83
MaGlzro	-	-	-	-	-	101	101	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MaGo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	97	98
MaGr	32	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MaIw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	31	14	13	10
MaJa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	82	81
MaJu	83	92	78	74	97	-	-	-	-	100	88	-	-	81	-	-	-	-	-	-	-
MaKa	70	48	47	41	38	40	40	22	57	63	-	-	-	-	-	-	-	-	-	-	-
MaKo	-	-	-	-	144	139	139	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MaKr	-	-	-	-	-	35	35	40	55	67	60	-	-	-	-	-	-	-	-	-	-
MaKs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	95	-	87	-	-	-
MaKw	-	-	-	26	29	16	16	17	17	21	35	-	-	-	-	-	-	-	-	-	-
MaMa	-	-	-	-	-	105	105	64	75	64	45	39	45	45	57	50	50	51	66	-	-
MaMi	31	8	8	5	5	6	6	7	9	8	4	4	-	-	-	-	-	-	-	-	-
MaNa	38	28	22	29	30	23	23	29	37	42	36	37	-	52	-	-	-	-	-	-	-
MaPa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	-	-
MaPi	-	-	-	80	70	51	51	44	61	20	73	-	-	-	-	-	-	-	-	-	-
MaPo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36
MaPr	10	18	79	9	15	17	17	20	28	34	19	13	-	-	-	-	-	-	-	-	-
MaRo	-	-	-	-	102	89	89	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MaRz	-	-	-	-	135	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MaSt	-	-	-	-	-	-	-	-	29	85	52	-	-	-	-	-	-	-	-	-	-
MaWa	-	-	-	-	34	29	29	16	22	27	44	34	48	48	34	44	44	43	53	55	-
MaWi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	40	33	37
MaiMaAd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	22	22	23	-
MaĆw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	52	49
MaŁu	62	52	37	33	36	-	-	-	-	-	-	-	-	40	-	-	-	-	-	-	-
MaŚw	20	15	20	24	26	24	24	31	39	35	25	28	23	23	21	40	40	-	-	-	-
MiCi	54	67	61	94	116	121	121	-	-	-	-	76	76	73	-	-	-	-	-	74	72
MiKi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83	42	17	15	11
MiKo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	88
MiLa	-	98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MiPl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	73	-
MiPlzro	-	-	-	-	-	-	-	-	-	-	-	-	-	65	-	-	-	-	-	-	-
MiSk	68	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MiSo	6	7	7	8	6	4	4	3	1	4	7	5	3	3	3	3	3	3	3	1	1
MiiAdPl	-	-	-	-	-	-	-	-	-	-	-	64	64	-	57	57	-	-	75	-	-
NgTuTa	-	-	-	-	-	-	-	-	-	93	93	-	-	-	-	-	-	-	-	-	-
OlMa	-	60	36	63	59	64	64	83	-	-	-	-	-	-	-	-	-	-	-	-	-
OlMe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100	-	-	-	-
PaMa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	9
